PILPROJ;Deb;PILPROJ_DEB_FR_1;Conversations;Quelle icône permet d'ajouter des participants à une conversation de groupe? ;Which icon can add participants to a group conversation? (To add a participant to a group conversation, which icon should I use?);Icône Activer la vidéo//Icône Ajouter des participants//Icône Détacher la fenêtre;Activate video icon//Add participants icon//Pop out chat icon;"Si je dois ajouter des nouvelles personnes à une conversation de groupe, j'utilise la fonctionnalité ""Ajouter des participants"" au lieu de créer une nouvelle conversation. ";"When I have to add new people to a group conversation, I use the ""Add Participants"" feature instead of creating a new conversation.";B;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_11;Calendrier;Que fait Megan dans cette vidéo? ;What is Megan doing in this video?;Elle crée une nouvelle réunion.//Elle passe un appel.//Elle change la vue de son calendrier pour voir ses créneaux disponibles de la journée.;She creates a new meeting.//She starts a call.//She changes her calendar view to see available slots for the day.;"Dans Teams, je paramètre la vue de mon calendrier sur ""Jour"" pour avoir une vue d'ensemble sur mon agenda du jour. ";"In Teams, I define the calendar to ""Day"" view for an overview of my agenda for the day.";C;QCMUniqueVideo
COMM;Deb;COMM_DEB_FR_12;Calendrier;On me demande de rajouter un ordre du jour à ma réunion. Dans quelle zone dois-je le renseigner? ;I am asked to add an agenda to my meeting. In which area should I add it ?;Zone Ajouter un titre//Zone Ajouter un canal// Zone Saisir les informations de la réunion;"""Add a title"" area//""Add a channel"" area//""Enter meeting details"" area";Quand je crée une réunion Teams, j'ajoute toujours un ordre du jour pour informer les participants des sujets à discuter. ;When I create a Teams meeting, I always add an agenda to inform participants on topics to discuss.;C;QCMUniqueImage
COMM;Deb;COMM_DEB_FR_13;Équipe/Discussions;J'écris une longue publication dans un canal et je souhaite revenir à la ligne. Quelle est l'astuce? ;Writing a long post in a channel, I want to insert a line break. What is the trick?;"J'utilise les touches ""MAJ"" + ""Entrée"" pour aller à la ligne.//Ce n'est pas possible, ma publication ne sera pas aérée. ";"I use the ""Shift"" + ""Enter"" keys to break line.//It is not possible, I cannot break lines";J'essaie de rendre mes publications agréables à lire pour mes collègues.;I try to make my posts pleasant to read for my colleagues.;A;QCMUnique
COMM;Deb;COMM_DEB_FR_14;Équipe/Discussions;Pour répondre à une publication dans une équipe, je clique sur: ;To reply to a post in a team, I click on :;Zone Démarrer une conversation//Icône Répondre//Icône Format;"""Start a conversation"" area//""Reply"" area//""Format"" icon";"Pour réagir à une nouvelle publication, je clique sur ""Répondre"" pour ajouter un commentaire. Ainsi, mes collègues peuvent retrouver facilement le fil de discussion de la publication. 
Je ne démarre une nouvelle conversation que si cela est nécessaire. ";"To respond to a new post, I click ""Reply"" to add a comment. So my colleagues can easily find the conversation thread.
I start a new conversation only if necessary.";B;QCMUniqueImage
COMM;Inter;COMM_INT_FR_1;Conversations;QueIles sont les fonctionnalités disponibles pour mettre en forme mon message? ;Whitch features are available to format my message?;Je peux insérer des emojis et des Gifs.//Je peux mettre mon texte en gras, en italique et en couleur.//Je peux dessiner directement dans la zone de message.//Je peux créer un tableau directement dans mon message.;I can insert emoji and Gifs.//I can change my text to bold, italic or add color.//I can draw directly in the message.//I can create a table directly in my message.;Je mets en forme mes messages pour une meilleure lisibilité et j'utilise les émojis et les Gifs pour ajouter du fun dans mes conversations. ;I create format my messages to make it easier to read and I can use Gifs and emojis to add some fun.;A//B//D;QCMMultiple
COMM;Inter;COMM_INT_FR_2;Conversations;Quel raccourci clavier utilise Megan dans cette vidéo pour insérer des émojis? ;What keyboard shortcut is Megan using in this video to insert emoji?;"Windows ; / CTRL N//CTRL , //Windows +";"Windows + ;//CTRL + N//CTRL + ,//Windows +";Je peux ajouter du fun à mes messages en insérant des émojis et des Gifs.;I can add fun to my messages by inserting emoji and gifs.;A;QCMUniqueVideo
COMM;Inter;COMM_INT_FR_3;Fichiers;Lorsque je dépose un fichier dans un canal, aucune notification n'est envoyée. Quelle est la solution idéale pour prévenir mes collègues qu'un fichier est disponible ?;When I drop a file in a channel, no notification is sent. What is the ideal solution to notify my colleagues that a file is available?;J'informe mes collègues oralement que j'ai déposé un nouveau fichier.//Je poste une publication contenant le lien du fichier et je mentionne le canal.//Je poste un message dans le une conversation de groupe.;I tell my colleagues virbally that I dropped a new file.//I post a link to the file and I mention the channel.//I post a message in a group chat.;Pour s'assurer que les fichiers sont toujours correctement rangés dans mon canal, mon équipe et moi créons tous les dossiers nécessaires et nous nous efforçons de notifier lorsque nous déposons de nouveaux fichiers. ;To ensure that files are always stored correctly in my channel, my team and I create all the necessary folders and notify the team when we drop new files.;B;QCMUnique
COMM;Inter;COMM_INT_FR_4;Fichiers;Comment permettre à un.e collègue d'accéder à un fichier que j'ai déposé sur Teams ?;How to allow a colleague to access a file that I shared in Teams?;Je télécharge le fichier sur mon PC et je lui envoie par email.//Je copie le lien du fichier et je le lui envoie dans notre conversation privée.//Réponse C;I download the file on my PC and I send it by email.//I copy the file link and I sent it in a private chat.//Answer C;Je garde à l'esprit que si le fichier fait partie d'une équipe privée et que mon contact n'en est pas membre, il.elle ne pourra pas y accéder.;I keep in mind that if the file is part of a private team and my contact is not a member,  they will not be able to access it.;B;QCMUnique
COMM;Inter;COMM_INT_FR_5;Applications;Quel est le bon parcours pour épingler un site internet à un canal, afin d'y accéder facilement? ;What is the right way to pin a website to a channel in order to access it easily?;"Enfin, je rajoute l'URL du site internet.//Je sélectionne l'icône Site web.//Puis, je nomme l'onglet.//Je commence par sélectionner le canal et je clique sur le ""+"" à droite des onglets.";"Finally, I add the site's URL .//I choose Web Site.//Then, I rename the tab.//I start by selecting the channel and I click the ""+"" to the right of tabs.";Pour accéder rapidement à un site internet spécifique qui sera utile à mon équipe, je crée un onglet dédié qui nous permettra d'accéder au site directement dans Teams. ;To quickly access a specific website that will be helpful to my team, I create a dedicated tab that will allow us to access the site directly in Teams.;D//B//C//A;BonParcours
COMM;Inter;COMM_INT_FR_6;Applications;Je souhaite lancer un sondage auprès des membres d'un canal. Comment puis-je faire ?;How do I survey members in a channel?;Cette fonctionnalité n'existe pas dans Teams.//J'utilise l'application Sondage ou Forms qui sont intégrées à Teams.//Je créé un fichier Excel et je demande aux membres du canal de le compléter.;This feature does not exist in Teams.//I use a Survey app or Forms that are integrated in Teams//I create a Excel file and ask channel members to fill in the questions.;"En utilisant des outils intégrés à Teams, je suis plus efficace car je n'ai pas besoin de sortir de Teams pour créer un sondage. Dans la zone de publication, je clique sur l'icône ""…"" (Extensions de messagerie) je sélectionne l'application ""Sondage"", je clique sur ""Ajouter"" et je personnalise mon sondage. ";"Using integrated tools, I am more efficient because I do not need to leave Teams to create a poll. In the publishing area, I click on the ""..."" icon (Mail Extensions) I select the application ""Poll"", I click ""Add"" and I customize my poll.";B;QCMUnique
COMM;Inter;COMM_INT_FR_7;Statut/Raccourcis;Je souhaite ne pas être interrompu.e pendant 2 heures pour travailler tranquillement sur un dossier de fond. Quel est le seul statut qui désactive toutes mes notifications ?;I do not want to be interupted for 2 hours to focus on a specific project. Which statuses disables all my notifications?;Occupé//Ne pas déranger//Absent;Busy//Do not disturb//Away;"Voici comment mon statut s'actualise automatiquement sur Teams: 
- Disponible (s'active automatiquement si je n'ai rien dans mon Calendrier)
- Occupé/En réunion (s'active automatiquement lorsque je suis en réunion)
- Ne pas déranger (s'active automatiquement lorsque je fais un partage d'écran)
- Absent (s'active après une longue période d'inactivité sur Teams)
- Absent du bureau (s'active lorsque cela est indiqué dans mon calendrier Outlook)
- Déconnecté (s'active automatiquement quand je me déconnecte de l'application)";"Here is how my status is automatically updated on Teams:
- Available (automatically activates if I have nothing in my calendar)
- Busy / In meeting (activates automatically when I'm in a meeting)
- Do Not Disturb (activates automatically when I make a screen sharing)
- Away (activates after a long period of inactivity Teams)
- Out of Office (activates when indicated in my Outlook calendar)
- Disconnected (activates automatically when I log off from Teams)";B;QCMUniqueImage
COMM;Inter;COMM_INT_FR_8;Statut/Raccourcis;Quelle fonctionnalité permet de m'avertir quand mon interlocuteur.rice sera de nouveau disponible? ;Which feature notifies me when my colleague becomes available?;"""Marquer comme non lue""//""Désactiver les notifications""//""M'avertir lorsque le statut devient disponible"" ";"""Mark as unread""//""Disable Notifications""//""Notify when available""";"Je ne sollicite pas mon interlocuteur.rice, lorsque son statut est sur ""Ne pas déranger"" ou""En présentation"". Je sélectionne plutôt l'action ""M'avertir lorsque le statut devient disponible"" comme cela je le.la solliciterai au bon moment. ";"I do not bother my colleague when their status is ""Do Not Disturb"" or ""In a call"". Instead, I select the action ""Notify when available"" and I contact him or her at the right time.";C;QCMUnique
COMM;Inter;COMM_INT_FR_9;Appels;Je suis en ligne avec mon responsable, en cours d'appel nous souhaitons ajouter Alex à la conversation. Comment faire? ;I'm in a call with my manager, we want to add Alex to the conversation. How do we do it?;"Je raccroche l'appel en cours et je lance un nouvel appel de groupe.//J'appelle Alex depuis mon mobile et je le mets en haut parleur.//J'ajoute Alex à l'appel en cours en cliquant sur ""Ajouter des participants"".
";"I hang up the current call and I start a new group call.//I call Alex from my mobile and I enable the speaker.//I add Alex to the current call by clicking ""Add  participants"".
";"Si j'ai besoin d'un avis d'une personne supplémentaire en cours d'appel, je vérifie que la personne est disponible via son statut et j'utilise la fonctionnalité ""Ajouter des participants"" pour l'inviter à rejoindre l'appel. ";"If I need the advice from an additional person on a call, I check that the person is available via its status and I use the function ""Add participants"" to invite them to join the call .";C;QCMUnique
COMM;Inter;COMM_INT_FR_10;Appels;"En ce moment je travaille tous les jours avec Megan du département Marketing. Quel est le bon parcours pour ajouter Megan à la liste de ""Numérotation rapide""? ";"Right now I work every day with Megan from the Marketing department. What is the best way to add Megan to ""Speed ​​Dial""?";"Je sélectionne le dernier appel avec Megan.//Pour commencer, je vais dans l'onglet ""Appels"".//Je clique enfin sur ""Ajouter à la numérotation rapide"".//Je clique sur l'icône Autres actions ""…"" à côté du dernier appel de Megan.";"I select the last call with Megan.//To begin, I go to the ""Calls"" tab.//I finally click on ""Add to Speed ​​Dial"".//I click on the icon Other actions ""..."" next to the last call from Megan.";"Ajouter un contact à la liste de ""Numérotation rapide"" me permet de le joindre plus rapidement et notamment depuis un téléphone portable. Ils sont accessibles depuis l'onglet  ""Appels"" et sont épinglés au-dessus de mes groupes de contacts. ";"Add a contact to the list of ""Speed ​​Dial"" allows me to contact him or her much faster and especially from a mobile phone. They are accessible from the ""Calls"" tab and are pinned above my contacts groups.";B//A//D//C;BonParcours
COMM;Inter;COMM_INT_FR_11;Calendrier;"Je souhaite prendre la parole lors d'une réunion avec une dizaine de participants. Sur quelle icône dois-je cliquer pour ""Lever la main""? ";"I wish to speak at a meeting with a dozen participants. Which icon do I click to ""Raise Hand""?";"Icône ""Activer mon micro""//Icône ""Lever la main"" // Icône ""Conversation"" ";"Icon ""Activate my microphone""//Icon ""Raise Hand""//Icon ""Conversation""";"Dans la mesure du possible, je privilégie le chat ou la fonction ""Lever la main"" pour interagir avec les autres participants pendant une réunion. ";"Whenever possible, I prefer the chat or the ""Raise Hand"" to interact with other participants during a meeting.";B;QCMUniqueImage
COMM;Inter;COMM_INT_FR_12;Calendrier;Depuis mon calendrier Teams, je peux: ;From my Teams calendar, I can:;Créer une nouvelle réunion.//Rejoindre une réunion.// Bloquer du temps dans mon agenda pour travailler.//Créer une liste de tâches.;Create a new meeting.//Join a meeting.//Schedule focus time to work.//Create a list of tasks.;Pour ne pas être submergé.e de réunions, je réserve toujours des créneaux dans mon calendrier pour avancer sur mes tâches individuelles, et pour communiquer mes disponibilités à mes interlocuteurs. ;To not be overwelmed by meetings, I schdule time slots in my calendar to focus on my individual tasks, and communicate my availabilities to my colleagues.;A//B//C;QCMMultiple
COMM;Inter;COMM_INT_FR_13;Équipe/Discussions;Je fais partie de plusieurs équipes sur Teams et j'ai du mal à m'y retrouver. Que puis-je faire pour y mettre de l'ordre ?;I belong to several Teams and it's overwhelming. What can I do to make it better?;"Je quitte certaines équipes, au risque de perdre de l'information.//Je masque les équipes qui ne m'intéressent pas.//Je change l'ordre de la liste de mes équipes en les déplacant avec ma souris.//J'affiche les équipes qui m'importent le plus.
";"I leave some teams and take the risk of losing information.//I hide the teams that do not interest me.//I change the order of my list of teams by draging them with my mouse.//I pin teams that I care the most.
";Pour maintenir de l'ordre dans Teams, je dois régulièrement épingler/masquer les équipes ou les canaux qui ne sont plus d'actualité.;To keep everything in order in Teams, I might regularly unpin / hide teams or channels that are no longer relevant.;B//C//D;QCMMultiple
COMM;Inter;COMM_INT_FR_14;Équipe/Discussions;Je viens de créer une équipe, mais certains membres ne la voient pas dans leur liste. Comment puis-je les aider à la retrouver? ;I just created a team, but some members are not seeing it into their list. How can I help them find it?;Je les mentionne dans une nouvelle publication de l'équipe.// Je prends une capture écran de l'équipe et je leur envoie par chat.//Je leur partage le lien direct vers l'équipe.//Je leur partage le nom de l'équipe pour qu'ils le retrouvent depuis la barre de recherche. ;I mention them in a new publication in the team.//I take a screenshot of the team and I send them in a chat.//I send them the direct link to the team.//I share the name of the team so that they can find it from the search bar.;Quand je crée une nouvelle équipe, je crée une publication de bienvenue en mentionnant les membres de l'équipe. J'y ajoute la description et l'objectif de cette nouvelle équipe.;When I create a new team, I post a welcome message mentioning the team members. I add the description and the purpose of this new team.;A//C//D;QCMMultiple
COMM;Avance;COMM_AVA_FR_1;Conversations;Quel est l'astuce pour envoyer rapidement un message  à un contact ?;What is the trick to send a quick message to a contact?;"Il n'y a pas d'astuce, je dois aller uniquement dans l'onglet ""Conversation"".//En cliquant sur l'icône ""Conversation"", après avoir passé ma souris sur la photo de profil de mon contact.//En tapant dans la barre de recherche : ""/conversation"" + Touche Entrée +  ""Nom du contact"" +  Touche Entrée + ""Mon message"".";"There is no trick, I have to go in the ""chat"" tab.//By clicking on the ""chat"" icon, after putting my mouse over the profile picture of my contact.//By typing in the search bar ""/chat"" + Enter key + ""Contact name"" + Enter key + ""My message"".";"La barre de recherche ne sert pas uniquement à effectuer des recherches, elle me permet également de faire diverses actions. Je découvre la liste de toutes les actions possibles en tapant ""/"" dans la barre de recherche !";"The search bar is not just to research, it also allows to do various actions. I can view the list of all possible actions by typing ""/"" in the search bar!";C;QCMUnique
COMM;Avance;COMM_AVA_FR_2;Conversations;Dans quels cas est-il préférable de créer une conversation Teams plutôt que d'envoyer un email? ;In which cases is it better to create a Teams group chat rather than sending an email?;Pour demander une revue de mon travail//Pour communiquer une information à caractère important et officiel//Pour convenir d'une date de réunion;To request a review of my work //To communicate official and important information//To arrange a meeting date;J'utilise le bon outil pour le bon message. Je privilégie Teams pour les échanges rapides et instantanés, j'utilise l'email pour communiquer des informations importantes et officielles. ;I use the right tool for the right purpose. I prefer Teams for quick and instant chat, I use email to communicate important and official information.;A//C;QCMMultiple
COMM;Avance;COMM_AVA_FR_3;Fichiers;Quel est le bon parcours pour partager un fichier de mon OneDrive sur Teams?;What is the right way to share a file from my OneDrive to Teams?;"Enfin, je fais clic droit et je copie le lien.//Je sélectionne le fichier qui m'intéresse.//Je sélectionne ""OneDrive"".//Je commence par me rendre dans l'onglet ""Fichiers"" du menu de navigation à gauche.";"Finally, I right click and copy the link.//I select the file that interests me.//I select ""OneDrive"".//I first go in the ""Files"" tab on the left of the navigation menu.";En accédant à mes fichiers stockés sur OneDrive directement surTeams,  je reste dans une seule interface et je ne perds pas de temps à naviguer entre différentes fenêtres !;By accessing my files stored on OneDrive directly in Teams, I remain in one interface and I do not lose time browsing between different windows!;D//C//B//A ;BonParcours
COMM;Avance;COMM_AVA_FR_4;Fichiers;Pendant un appel, on me demande de retrouver un fichier partagé sur Teams. Comment faire? ;During a call, someone asks me to find a file shared via Teams. How do I do this?;"Je tape le nom du fichier dans la barre de recherche et je filtre sur ""Fichiers"".//Je vais dans l'onglet ""Fichiers"" et je filtre l'affichage.//Je demande à un collègue.";"I type the file name in the search bar and I filter on ""Files"".//I go in the ""Files"" tab and I filter//I ask a colleague.";"Pour retrouver rapidement un fichier, je tape le nom du fichier dans la barre de recherche Teams. Je filtre ensuite les résultats de recherche sur ""Filtrer"". ";"To quickly find a file, I type the file name in the Teams search bar. Then, I filter the search results by using the ""Filter"" button";A//B;QCMMultiple
COMM;Avance;COMM_AVA_FR_5;Applications;Je souhaiter connaître les nouvelles fonctionnalités d'appels dans Teams. Comment y accéder? ;I would like to discover the new calling features in Teams. Where can I get this information?;"Je sélectionne l'onglet ""Nouveautés"".//Je clique sur l'icône ""Aide"" en bas du bandeau gauche de Teams.//Enfin, je tape le mot clé ""Appels"" dans la barre de recherche. ";"I select the ""News"" tab.//I click on the ""Help"" icon in the lower left nagivation in Teams.//Finally, I type the keyword ""Calls"" in the search bar.";Afin d'optimiser mon usage de Teams et apporter de l'aide à mon équipe, je consulte régulièrement les nouveautés de l'application. Et je partage les nouveautés avec mon équipe !;To optimize my use of Teams and to help my team, I regularly consult the new features available in the application. And I share the news with my team!;B//A//C;BonParcours
COMM;Avance;COMM_AVA_FR_6;Applications;Sur Teams, comment permettre à mes interlocuteurs d'accéder rapidement à une application tierce?;On Teams, how can you give to your colleagues a quick access to a third party application?;Je l'épingle à une conversation.//Je l'épingle à un canal.//Je l'épingle dans ma barre de tâches. ;I pin it to the conversation.//I pin it to a channel.//I pin it in my taskbar.;"Si mon organisation le permet, je peux ajouter une application tierce à Teams. Sinon, je peux ajouter le connecteur ""Site Web"" depuis une conversation/canal et le relier à l'application qui m'intéresse.Dans la mesure du possible, je fais remonter le besoin à mon équipe IT pour que l'application soit intégrée au catalogue de mon organisation !";"If my organization allows it, I can add a third party application to Teams. Otherwise, I can add the connector ""Website"" from a conversation / channel and link it to the app I am interested in. If possible, I escalate the need to my IT team to have the application integrated into my organization's catalog!";A//B;QCMMultiple
COMM;Avance;COMM_AVA_FR_7;Statut/Raccourcis;"Trouvez les bonnes réponses, lorsque je suis en statut ""Ne pas déranger"": ";"Find the right answers when I have a ""Do not disturb"" status:";"Je reçois uniquement les notifications d'appels et de messages des personnes de ma liste de contacts prioritaires.//Mes appels entrants sont basculés automatiquement sur ma messagerie vocale.//Je reçois les notifications des messages marqués comme ""Important"".//Réponse D. ";"I only receive calls and message notifications from people on my priority contact list.//My incoming calls are automatically switched to my voicemail.//I receive notifications of messages tagged as ""Important"".//Response D.";"Je peux rajouter des personnes à ma liste de contacts prioritaires depuis les Paramètres, en allant ensuite dans la section ""Confidentialité"". Même si un.e des mes contacts est en statut ""Ne pas déranger"" une notification est envoyée quoi qu'il arrive lorsque je publie un message important. Je dois donc utiliser cette fonctionnalité avec parcimonie !";"I can add people to my list of priority contacts from the Settings section, then I go to the ""Privacy"" section. Then I go to the ""Confidentiality"" section. Even if one of my contacts is in ""Do Not Disturb"" status, he will receive a notification when I post an important message. I must be careful before using this feature!";A//B//C;QCMMultiple
COMM;Avance;COMM_AVA_FR_8;Statut/Raccourcis;J'utilise les raccourcis claviers pour naviguer rapidement. Alex travaille sur MacOS et cherche les raccourcis claviers disponibles sur cette plateforme. Je lui montre le bon parcours pour y accéder:;I use keyboard shortcuts to save time. Alex works on MacOS and looks for keyboard shortcuts available on this platform. I show him the right path to get there:;"Je commence par cliquer sur ma photo de profil.//Je clique sur ""Afficher les raccourcis pour toutes les plateformes"".//Je sélectionne ""Raccourcis clavier"".//Enfin, je sélectionne l'onglet Windows ou MacOS.";"I start by clicking on my profile picture.//I click on ""Show keyboard shortcuts for all platforms"".//I select ""Keyboard shortcuts"".//Then, I select the Windows or MacOS tab.";Lorsque je suis très à l'aise avec Teams, naviguer ou interagir grâce à des raccourcis clavier peut se révéler efficace !;When you become a Teams super user, using keyboard shortcuts can be a real game changer!;A//C//B//D;BonParcours
COMM;Avance;COMM_AVA_FR_9;Appels;Je suis en réunion et on vient de me laisser un message vocal sur mon répondeur. J'aimerais savoir si c'est urgent. Comment le consulter discrètement depuis Teams? ;I'm in a meeting and I have just received a message on my voicemail. I would like to know if it's urgent. How to get access to it directly from Teams?;Je ne peux pas, je dois attendre la fin de la réunion pour le consulter.//J'invente une excuse pour sortir de la salle de réunion.//Le message vocal est transcripté sur Teams, je peux le lire en cliquant sur la ligne de l'appel. ;I can't, I have to wait until the end of the meeting.//I am making up an excuse to get out of the meeting room.//The voice mail is transcripted on Teams, I can read it by clicking on the call.;"Je demande toujours à mes interlocuteurs de me laisser un message vocal. La fonctionnalité ""Transcription des messages vocaux"" me permet de consulter rapidement ma messagerie même si je suis en réunion!";"I always ask my contacts to leave a voicemail. Thanks to the feature ""Transcript voicemail"", I can quickly check my voicemail while I'm attending a meeting!";C;QCMUnique
COMM;Avance;COMM_AVA_FR_10;Appels;"Je souhaite que mon responsable puisse me joindre à tout moment même quand mon statut est sur ""Ne pas déranger"". Quel est le bon parcours pour gérer l'accès prioritaire? ";"I wish my manager could reach me any time even when my status is ""Do Not Disturb"". What is the right way to manage priority access?";"Je vais dans ""Paramètres"".//Je commence par cliquer sur ma photo de profil.//Je vais dans ""Confidentialité"".//Enfin, je sélectionne ""Gérer l'accès prioritaire"".";"I go to ""Settings"".// I start by clicking on my profile picture.//I go to ""Privacy"".//Finally, I select ""Manage priority access.""";Je gère l'accès de mes contacts prioritaires pour qu'ils puissent me contacter à tout moment. ;I manage the access of my priority contacts so that they can contact me at any time.;B//A//C//D;BonParcours
COMM;Avance;COMM_AVA_FR_11;Calendrier;Un responsable a partagé un lien important dans le fil de conversation de la réunion d'hier. Il serait pertinent de partager ce lien à un autre collègue. Comment retrouver ce lien et lui partager? ;A manager has shared an important link in the conversation thread of yesterday's meeting. It would be appropriate to share this link with another colleague. How can I find this link and share it?;J'ouvre la réunion depuis mon calendrier Outlook.//J'ouvre la réunion depuis mon calendrier Teams et je vais dans l'onglet Conversation.//C'est impossible de retrouver ce lien. ;I open the meeting invitation from my Outlook calendar.//I open the meeting invitation from my Teams calendar and I go to the Conversation tab.//It is impossible to find this link.;Si on me partage une information importante que je souhaite traiter plus tard, j'enregistre le message pour le retrouver facilement plus tard. ;If someone shares important information with me that I want to process later, I save the message to find it easily later.;B;QCMUnique
COMM;Avance;COMM_AVA_FR_12;Calendrier;Mon responsable est en déplacement à l'étranger. Il me demande de modifier l'horaire de notre point hebdomadaire pour correspondre à son fuseau horaire. Comment faire? ;My manager is traveling abroad. He asks me to re-schedule our weekly meeting to match its time zone. How can I do that?;J'obtiens son fuseau horaire et je calcule de tête à quelle heure il est sera disponible.//Je modifie notre point dans Teams en sélectionnant son fuseau horaire et en utilisant l'Assistant de planification.//Je lui dis que je suis disponible pour faire une réunion à 22 heures. ;I get the time zone and I calculate mentally at what time he will be available.//I change our meeting in Teams by selecting his time zone and by using the Planning Assistant.//I tell him that I am available to do a meeting at 10 p.m.;Si j'ai une réunion avec une personne à l'étranger, en créant la réunion je sélectionne son fuseau horaire puis je clique sur l'Assistant de planification pour voir les créneaux disponibles sur nos deux agendas. Je privilégie les horaires de travail pour préserver l'équilibre personnel et professionnel. ;If I have a meeting with someone abroad, when creating the meeting, I select their time zone and then I click on the Planning Assistant to view the available slots on the two calendars. I prefer working hours to preserve a good work-life balance.;B;QCMUnique
COMM;Avance;COMM_AVA_FR_13;Équipe/Discussions;Cochez toutes les affirmations vraies. Les balises…;Check all true statements. Tags…;…sont créées à partir des équipes.//...sont limitées à trois personnes.//…permettent de s'adresser à un groupe de personnes définies dans une équipe.;... are created from teams.//... are limited to three people.//… allows to address a group of people defined in a team.;Par défaut, les mentions individuelles de canal et d'équipe sont disponibles. Pour affiner la communication, je peux créer des mentions personnalisées. Ainsi, je ne notifie qu'une poignée de personnes définies et je ne suis pas obligé.e de notifier tout un canal, une équipe ou individu par individu.;By default, individual channel and team mentions are available. To refine communication, I can create personalized mentions. Thus, I only notify a handful of defined people and I don't have to notify an entire channel, a team or person per person.;A//C;QCMMultiple
COMM;Avance;COMM_AVA_FR_14;Équipe/Discussions;Comment obtenir l'adresse email d'un canal pour transférer une note interne à caractère important et officiel? ;How do I get a channel's email address to transfer an important and official internal memo?;"Je le retrouve en cliquant sur les trois petits points ""…"" à côté du nom du canal. //Il n'y a pas d'adresse email associé à un canal. ";"I find it by clicking on the three small dots ""..."" next to the channel name.//There is no email address associated with a channel.";Ponctuellement, je peux transférer un email à un canal Teams. Je privilégie Teams pour les échanges rapides et instantanés, et les emails pour communiquer des informations importantes et officielles. ;Occasionally, I can transfer an email to a Teams channel. I prefer Teams for quick and instant exchanges, and emails to communicate important and official information.;A;QCMUnique
COMM;Deb;MNG_DEB_FR_1;Conversations;Je souhaite transmettre une information importante à tous les membres de mon équipe : comment faire sortir ce message du lot? ;I want to pass on important information to all members of my team: how do I get this message from the crowd?;"Je double mon message Teams d'un email : on n'est jamais trop prudent….//J'utilise l'icône ""Important"" disponible dans les conversations et les canaux de Teams//Je crée une réunion pour m'assurer que tous ont bien reçu l'information importante ! ";"I follow my Teams message with an email: you can never be too careful....//I use the ""Important"" icon available in Teams conversations and channels//I create a meeting to make sure everyone has received the important information!";J'évite la duplication d'informations (message dans Teams + Email) pour ne pas perdre mes interlocuteurs et centraliser les échanges. ;I avoid the duplication of information (message in Teams + Email) so as not to lose my contacts and centralize the exchanges.;B;QCMUnique
MNG;Deb;MNG_DEB_FR_2;Conversations;Je reçois toutes les 2 minutes une notification de mon collègue qui m'indique que notre N+3 vient d'arriver dans nos locaux, que se passe-t-il ? ;"Every 2 minutes I receive a notification from my colleague who tells me that our N+3 has just arrived at our office, what is going on?
";"Mon collègue est très stressé par la perspective de cette rencontre. //Mon collègue a envoyé un message ""Urgent"" dans notre conversation : en rédigeant son message, il l'a doté d'un caractère urgent, je suis donc notifié.e toutes les 2 minutes pendant 20 minutes.//Mon collègue ne sait pas utiliser Teams correctement.";"My colleague is very stressed by this meeting. He sent an ""Urgent"" message in our conversation. By giving it an urgent icon, I am notified every 2 minutes for 20 minutes.//My colleague does not know how to use Teams properly.";"J'utilise les caractères ""Important"" et ""Urgent"" à bon escient ! ";"I use the characters ""Important"" and ""Urgent"" wisely!";B;QCMUnique
MNG;Deb;MNG_DEB_FR_3;Fichiers;En tant que responsable d'équipe, je suis la seule personne à avoir reçu un email important comportant la politique de congés d'été. Je souhaite le transmettre à mon équipe. Comment faire? ;"As a team leader, I am the only person to have received a major email with the summer leave policy. I want to forward it on to my team. How do I do that? 
";"Je transfère l'email en essayant de n'oublier personne dans la liste des destinataires.//Je vais sur le canal ""RH"" de notre équipe Teams, je clique droit et je choisis ""Obtenir l'adresse email"" : je peux ainsi transférer le mail d'origine à mon équipe dans Teams. ";"I transfer the email trying not to forget anyone in the list of recipients.//I go to the ""HR"" channel of our Teams team, I right-click and choose ""Get email address"": I can transfer the original email to my team in Teams.";"Si j'ai reçu un email important, je peux le transférer directement à un canal et permettre aux autres membres de réagir dessus.  Je vais sur le canal, je clique droit et je sélectionne ""Obtenir l'adresse email"". Je peux ensuite @mentionner le canal, pour m'assurer que tout le monde lira l'information !";"If I received an important email, I can transfer it directly to a channel and allow other members to react on it. I'm on the channel, I click right and I select ""Get the email address."" I can then @mention the channel to make sure that everyone will read the information!";B;QCMUnique
