Module;Niveau;#;Sous-Thématiques;Questions;Réponses;Bonnes pratiques;Réponses attendues;Mécaniques
PILPROJ;Inter;PILPROJ_INT_FR_4;Fichiers;Je souhaite retrouver l'ancienne version d'un document partagé dans Teams, quel est le bon parcours? ;Je clique sur le nom du document en haut de l'interface.//Je clique sur Historique des versions. //Je vais dans Fichiers et j'ouvre le document dans l'application.//Je sélectionne la version que je souhaite récupérer dans la fenêtre de droite. ;En partageant un document dans une équipe, je suis sûr qu'il n'y a plus qu'une seule version de document. Je suis sûr de travailler sur la dernière version à jour et si besoin je peux télécharger une ancienne version à une date précise en utilisant l'historique des versions. ;C//A//B//D;BonParcours
PILPROJ;Inter;PILPROJ_INT_FR_5;Applications;De nouveaux membres vont rejoindre mon équipe projet. Comment faire en sorte que la navigation de l'équipe soit intuitive ?;J'ajoute un onglet OneNote qui recense tout ce qu'il faut savoir sur l'équipe et son mode de fonctionnement//J'ajoute un onglet Word qui recense tout ce qu'il faut savoir sur l'équipe et son mode de fonctionnement//J'ajoute un fichier PDF en onglet qui rescence tout ce qu'il savoir sur l'équipe et son mode de fonctionnement;Lorsqu'il s'agit d'accueillir un nouveau membre dans mon équipe projet, pour faciliter son intégration, je peux mettre en place une FAQ, une liste de tâches du nouvel arrivant, une liste de procédures et de liens utiles, etc…et tout ça dans un onglet OneNote. ;A;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_6;Applications;J'aimerais avoir une vue sur l'avancement des tâches de mon équipe projet. Quel outil dois-je privilégier dans Teams ?;Planificateur, qui est un outil Microsoft entièrement intégré à Teams et synchronisé avec Outlook.//Un outil de gestion de projet déjà mis en place dans mon entreprise et qui s'intègre à Teams (Trello, Jira, Asana, …).//Excel;Utiliser des applications spécifiques à la gestion des tâches et de projets permet à mon équipe d'être plus efficace et de réduire l'envoi de messages ou d'emails sur la progression des tâches.;A//B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_7;Statut/Raccourcis;Je travaille sur des sujets importants actuellement et je souhaite être informé(e) par email des activités manquées sur Teams. Comment faire? ;Je clique sur mon profil//Je vais dans Paramètres.//Je vais dans Notifications.//Je définis la fréquence des Courriers concernant les activités manquées. ;Pour ne rien rater des notifications importantes sur mes projets, je paramètre mes notifications et je suis informé(e) de tout même en consultant mes emails!;A//B//C//D;BonParcours
PILPROJ;Inter;PILPROJ_INT_FR_8;Statut/Raccourcis;Dans une équipe, on peut avoir un statut de Propriétaire ou de Membre. Pourquoi est-il conseillé de nommer plusieurs propriétaires dans une équipe? ;Pour le partage du pouvoir//Définir plusieurs propriétaires permet aux autres propriétaires de continuer à gérer les paramètres et les droits de l'équipe, même en cas d'absence ou de départ de celui qui a créé l'équipe. //Ce n'est pas conseillé, il faut un seul propriétaire par équipe. ;Quand je crée une équipe, je nomme directement 2 ou 3 propriétaires qui pourront gérer l'équipe au cas où je m'absente ou je quitte la société. ;B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_9;Appels;Un collègue est en déplacement professionnel, et il souhaite joindre la réunion hebdomadaire par téléphone. Où peut-il trouver le numéro de téléphone associé? ;En sélectionnant la réunion depuis son calendrier Outlook, il retrouvera le numéro en bas de l'invitation. //En sélectionnant la réunion depuis son calendrier Teams, il retrouvera le numéro en bas de l'invitation//En allant dans l'onglet Appels;Quand je crée une réunion Teams depuis Outlook, je vérifie toujours que les éléments de connexion à la réunion sont ajoutés automatiquement en bas de page. ;A//B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_10;Appels;Comment suis-je informé(e) qu'une réunion est en lancée dans un canal? ;Je reçois une notification Teams m'informant que quelqu'un a démarré la réunion.//Une icône Caméra s'affiche à côté du nom du canal.//Je reçois une notification Outlook m'informant que la réunion a démarré. ;Je peux rejoindre une réunion de canal en me rendant dans le canal et en cliquant sur Rejoindre. ;A//B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_11;Calendrier;Puis-je inviter des externes à une réunion avec mon équipe projet?;"Oui, tout à fait ! Pour cela, il suffit d'ajouter leur adresse e-mail dans la liste des participants sur Outlook.//Ce n'est pas possible, Teams est un outil interne à mon entreprise, je ne peux pas l'utiliser avec l'extérieur.//Il suffit d'ajouter leur adresse e-mail dans la liste des participants sur Teams. 
";Même si les personnes externes invitées ne sont pas familières avec Microsoft Teams, en créant la réunion j'inclus les informations de connexion dans l'invitation qui leur permettra de rejoindre et de participer sereinement à la réunion Teams.;A//C;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_12;Calendrier;Quelle est la durée de réunion conseillée pour un point de synchronisation hebdomadaire? ;2 heures//45 min//1 heure;Pour les réunions hebdomadaires avec mon équipe, je détermine un agenda en avance et je privilégie les réunions de 45 minutes pour laisser à tout le monde 15 minutes de battement avant la prochaine réunion. ;B;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_13;Équipe/Discussions;J'ai besoin de co-créer ou de partager des informations confidentielles avec certains membres de mon équipe, comment faire? ;Je leur envoie un email//Je crée une nouvelle équipe pour traiter les sujets confidentiels.//Je crée un canal privé au sein de mon équipe. ;"Il est plus intéressant de créer un canal privé dans une équipe qu'une conversation de groupe ou un email, car de cette manière toute l'information portant sur un même projet est conservée au même endroit (l'équipe) et non pas dispersée entre une équipe, des conversations, des emails...
Pour cela, je clique sur ""Plus d'options …"", puis sur ""Ajouter un canal"". Un canal privé n'est seulement visible et accessible que par les membres sélectionnés.";C;QCMMultiple
PILPROJ;Inter;PILPROJ_INT_FR_14;Équipe/Discussions;Dans une équipe, pour attirer l'attention sur ma publication je peux :  ;"Mettre en forme mon message en cliquant sur l'icône ""Format"" en forme de A//Utiliser le mode ""Annonce"" pour mon message en cliquant sur l'icône ""Format"", puis en sélectionnant ""Annonce"" depuis la liste déroulante.//Mentionner des personnes spécifiques, le canal (si mon message concerne seulement le sujet du canal) ou l'équipe (si mon message concerne l'équipe entière).//Utiliser les trois  techniques évoquées ci-dessus. ";Par défaut, les notifications des canaux sont désactivées. Il est donc important que je mentionne les membres de mon équipe, mais également que je rende ma publication attrayante pour attirer l'œil de mon audience.;D;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_1;Conversations;On vient d'envoyer un email à mon équipe en me mettant en cc. Pour éviter les interminables échanges d'email, je souhaite utiliser Teams à la place: ;"Je crée une équipe.//Je crée une conversation de groupe à propos de l'email reçu.//J'utilise la fonctionnalité ""Répondre par un message instantané"" sur Outlook pour répondre sur Teams. ";"Quand je constate qu'un échange serait plus efficace sur Teams que par email, je redirige la conversation vers Teams en utilisant la fonctionnalité ""Répondre par un message instantané"".";C;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_2;Conversations;Dans quels cas est-il conseillé de publier mon message dans une conversation de groupe plutôt que dans un canal?  ;Pour savoir qui va déjeuner.//Pour décider des horaires de la prochaine réunion.// Pour partager une anecdote//Pour partager un fichier à co-éditer ensemble. ;Avant de publier une information, je m'assure que l'emplacement que j'utilise est le bon pour adresser mon message. ;A//B//D ;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_3;Fichiers;Quel est le raccourci clavier qui ouvre la section Fichiers dans Teams? ;Windows //Ctrl 6//Ctrl - //Ctrl 2 ;"Pour naviguer rapidement sur Teams, j'utilise les raccourcis claviers. J'ai accès à toute la liste depuis mon profil en sélectionnant ""Raccourcis claviers"". ";B;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_4;Fichiers;Je souhaite rationnaliser le nombre de canaux dans mon équipe. En supprimant un canal:;"Toutes les conversations et les fichiers seront supprimés. //Toutes les conversations seront supprimées, les fichiers seront stockés dans le canal ""Général""//Toutes les conversations seront supprimées mais les fichiers seront accessibles depuis le Sharepoint de l'équipe. ";Pour bien suivre mes projets, j'évite de créer plus de 10 canaux dans mes équipes pour ne pas polluer mes membres et structurer les discussions. ;C;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_5;Applications;Où retrouver rapidement la liste des applications utilisées dans mon équipe? ;Je vais dans Gérer l'équipe puis dans l'onglet Analyse. //Je vais dans Gérer l'équipe puis dans l'onglet Applications//Je vais dans Gérer l'équipe puis dans l'onglet Canaux. ;Pour visionner les applications utilisées dans mon équipe, je vais dans Gérer l'équipe et j'obtiens la liste dans l'onglet Application. Je peux choisir de désinstaller celles qui n'ont pas d'utilité dans mon équipe. ;B;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_6;Applications;J'utilise plusieurs Planner (Planificateurs) appartenant à diverses équipes/canaux. Quel est le bon parcours pour retrouver toutes mes tâches en un seul endroit ?;"Je sélectionne Planificateur.//Je clique sur ""…"" dans le bandeau gauche.//J'épingle l'onglet.//Je clique sur Affecté.";"Pour retrouver toutes mes tâches en un seul endroit, je dispose d'un affichage personnel sans avoir à quitter Teams: Je clique sur ""Plus d'options ..."" dans le menu de navigation à gauche, puis je recherche ""Planificateur"", je clique dessus et clique sur ""Ajouter"". J'épingle ensuite l'onglet pour y accéder rapidement depuis le bandeau gauche.";B//A//D//C;BonParcours
PILPROJ;Avance;PILPROJ_AVA_FR_7;Statut/Raccourcis;Quel est le bon parcours pour paramétrer les notifications d'un canal. ;"Je sélectionne Notifications du canal. //Je clique sur les trois points ""…"" à côté du canal.//Je sélectionne comment je souhaite être informé(e) de toutes les mentions du canal.//Je sélectionne comment je souhaite être informé(e)  de toutes les nouvelles publications dans ce canal.";Pour me tenir à jour de tout ce qui se passe dans mes équipes, je paramètre les notifications des canaux. ;B//A//D//C;BonParcours
PILPROJ;Avance;PILPROJ_AVA_FR_8;Statut/Raccourcis;A la différence d'un membre, que peut faire en plus un propriétaire de l'équipe? ;Modifier la description ou le nom d'une équipe//Supprimer l'équipe//Quitter une équipe//Supprimer un canal privé;A tout moment, je peux changer le statut d'un membre en propriétaire pour m'aider à gérer l'équipe. ;A//B//D;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_9;Appels;Nous avons une réunion avec un participant externe qui n'a pas l'application Teams. Il souhaite participer activement à la visioconférence. Je lui conseille d'ouvrir le lien de la réunion via: ;Le navigateur Edge//Le navigateur Chrome//Le navigateur Safari//Le navigateur Mozilla Firefox;Si je n'ai pas accès à l'application Teams, je peux participer à une réunion Teams et bénéficier de la meilleure expérience vocale et vidéo possible en utilisant les navigateurs Edge, Chrome ou Safari. ;A//B//C;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_10;Appels;Megan coordonne un projet avec moi. Elle participe à un événement externe cet après-midi et elle souhaite me transférer tous ses appels. Quelle est l'astuce pour reconnaître ces appels transférés? ;Un appel sur deux sera sûrement un appel transféré.//Je paramètre les sonneries de mes appels entrants et j'attribue une sonnerie spécifique pour les Appels transférés.//Je paramètre les sonneries de mes appels entrants et j'attribue une sonnerie spécifique pour les Appels délégués.;Si je travaille en binôme avec un collègue, lorsque l'un de nous n'est pas disponible pour répondre, on se transfère les appels pour que nos interlocuteurs aient toujours un point de contact principal sur le projet.  ;B;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_11;Calendrier;Je souhaite planifier une réunion projet avec des interlocuteurs externes. Je veux créer une salle d'attente pour valider manuellement leur entrée dans la réunion. Quel est le bon parcours? ;J'ouvre mon calendrier Outlook.//Je crée une nouvelle réunion Teams.//Je clique sur Option de réunion en bas de mon invitation.//Je sélectionne qui peut éviter la salle d'attente. ;Quand je planifie une réunion avec l'externe, j'active l'option Salle d'attente pour valider l'accès à la réunion. ;A//B//C//D;BonParcours
PILPROJ;Avance;PILPROJ_AVA_FR_12;Calendrier;J'ai deux réunions planifiées simultanément dans mon agenda. Comment décider à laquelle je vais assister? ;Je vérifie si ma présence est obligatoire ou facultative à ces réunions.//Trop difficile de décider, je préfère n'assister à aucune des deux réunions.//Je prends connaissance des deux ordres du jour.//Je demande à un des organisateurs des réunions d'enregistrer la réunion. ;"Lorsque je crée une réunion, je précise toujours si la présence des participants est obligatoire ou facultative, et j'inclus toujours un ordre du jour clair et détaillé. 
Il m'arrive d'avoir 2 à 3 réunions simultanées et comme je ne peux me dédoubler, ces deux élément permettent de prioriser une réunion par rapport à une autre. ";A//B//D;QCMMultiple
PILPROJ;Avance;PILPROJ_AVA_FR_13;Équipe/Discussions;Je souhaite archiver une équipe qui est liée à un projet terminé. Quel est le bon parcours? ;"Je sélectionne l'onglet ""Equipes"" dans le bandeau gauche.//Je sélectionne l'option Archiver l'équipe et je définis l'accès au Sharepoint associé.//En bas de la liste de mes équipes, je clique sur l'icône Gérer les équipes.//Dans ma liste d'équipes actives, je clique sur les ""…""  à côté de l'équipe à archiver.";Lorsqu'une des équipes n'est plus active, je l'archive pour m'en servir de référence et pour pouvoir la réactiver à l'avenir. Pour que les membres de cette équipe puisse continuer à accéder aux fichiers, je cocher la fonction Autoriser l'accès du site SharePoint en lecture seule pour les membres de l'équipe. ;A//C//D//B;BonParcours
PILPROJ;Avance;PILPROJ_AVA_FR_14;Équipe/Discussions;"Je fais partie d'un canal privé nommé ""Prévision des ventes"" avec trois de mes collègues. Je souhaite leur partager la nouvelle procédure interne que je viens de recevoir par email, concernant les déplacements professionnels:";"Je poste une nouvelle publication dans le canal privé ""Prévision des ventes"".//Je crée un nouveau canal privé avec les mêmes personnes.//Je lance une conversation de groupe.//Je leur transfère la procédure interne par email. ";Pour ne pas polluer la communication de mes équipes, je choisis toujours le bon outil pour adresser mon message. ;D;QCMMultiple
MNG;Deb;MNG_DEB_FR_1;Conversations;Je souhaite transmettre une information importante à tous les membres de mon équipe : comment faire sortir ce message du lot? ;"Je double mon message Teams d'un email : on n'est jamais trop prudent….//J'utilise l'icône ""Important"" disponible dans les conversations et les canaux de Teams//Je crée une réunion pour m'assurer que tous ont bien reçu l'information importante ! ";"J'évite la duplication d'informations (message dans Teams + Email) pour ne pas perdre mes interlocuteurs et centraliser les échanges. 
";B;QCMUnique
MNG;Deb;MNG_DEB_FR_2;Conversations;Je reçois toutes les 2 minutes une notification de mon collègue qui m'indique que notre N+3 vient d'arriver dans nos locaux, que se passe-t-il ? ;"Mon collègue est très stressé par la perspective de cette rencontre//Mon collègue a envoyé un message ""Urgent"" dans notre conversation : en rédigeant son message, il l'a doté d'un caractère urgent, je suis donc notifié toutes les 2 minutes pendant 20 minutes.//Mon collègue ne sait pas utiliser Teams correctement";J'utilise les caractères Important et Urgent à bon escient ! ;B;QCMMultiple
MNG;Deb;MNG_DEB_FR_3;Fichiers;En tant que manager d'équipe, je suis le seul à avoir reçu un email important comportant la politique de congés d'été. Je souhaite le transmettre à mon équipe. Comment faire? ;"Je forwarde l'email en essayant de n'oublier personne dans la liste des destinataire, car je n'ai pas fait de liste de diffusion.//Je vais sur le canal ""RH"" de notre équipe Teams, je clique droit et je choisis ""Obtenir l'adresse email"" : je peux ainsi transférer le mail d'origine à mon équipe dans Teams. Je peux ensuite @mentionner le canal, pour m'assurer que tout le monde lira l'email.";;B;QCMUnique
MNG;Deb;MNG_DEB_FR_4;Fichiers;Je suis manager d'une équipe de commerciaux et j'ai demandé à mes collègues de compléter le fichier Excel des congés d'été dans notre équipe Teams. Alex a indiqué qu'il prendrait les mois de juillet et août.Quelle est la bonne pratique pour l'interpeller sur ce qui semble être une erreur ?;J'ajoute un commentaire en le @mentionnant sur la cellule concernée du fichier. //Je lui écris dans la conversation de groupe de l'équipe. //Je lui envoie un email avec une capture écran du fichier Excel.;Si j'ai des questions sur une zone spécifique d'un fichier Word, Powerpoint ou Excel, j'utilise l'onglet Commentaires. Cela permettra à la personne concernée d'apporter rapidement la réponse à ma question. ;A;QCMUnique
MNG;Deb;MNG_DEB_FR_5;Applications;Je souhaite féliciter un membre de mon équipe de commerciaux, pour avoir remporté un contrat d'exclusivité avec l'un de nos clients, comment faire? ;"Je lui envoie un email avec tous les autres membres de l'équipe en copie; nous pourrons tous ainsi répondre avec la fonctionnalité ""Répondre à tous""//J'utilise la fonctionnalité ""Praise/ Féliciter"" dans notre équipe Teams et mets ainsi en valeur son succès, sans polluer les boites aux lettres des autres membres de l'équipe";J'évite au maximum les chaînes de mail pour des félicitations ou des remerciements ! En revanche, je n'hésite pas utiliser les badges colorés de Teams pour féliciter mes collaborateurs pour leurs succès, pour remercier mes collègues de leurs efforts, conseils, etc …;B;QCMUnique
MNG;Deb;MNG_DEB_FR_6;Applications;Je fais partie d'une équipe de 20 personnes et j'ai repéré une formation en ligne intéressante pour mes collègues. Comment la mettre en évidence dans Teams ? ;"Je colle le lien de la formation dans un email, que j'envoie à mon équipe. //J'épingle le site web de la formation à notre canal ""Veille et formation"". De plus je publie un message avec un titre, des informations complémentaires et je mentionne le canal, afin de bien informer mes collègues.//Je poste le lien de la formation, sans titre, sans plus d'information, sans @mentionner le canal.";J'utilise les canaux à bon escient pour structurer la communication au sein de mon équipe. ;B;QCMMultiple
MNG;Deb;MNG_DEB_FR_7;Statut/Raccourcis;Vrai ou faux? Dans Teams, je peux personnaliser mon statut pour indiquer ma localisation géographique, mes plages horaires de disponibilité ou mon humeur !;Vrai//Faux;;A;QCMMultiple
MNG;Deb;MNG_DEB_FR_8;Statut/Raccourcis;Je suis manager d'une équipe de 30 personnes et je pars en vacances ce soir pour 2 semaines. Je poste un message dans l'équipe que je partage avec mes collaborateurs, pour indiquer mon back-up et demander si certains collaborateurs ont besoin de revoir des points avec moi avant mon départ. Ai-je bien fait? ;Oui, ainsi mon équipe a conscience que je suis disponible pour les urgences jusqu'à mon départ. Ils sauront également qui contacter prioritairement pendant mes 2 semaines d'absente.//Non ;;A;QCMMultiple
MNG;Deb;MNG_DEB_FR_9;Appels;Lors d'une réunion, tous les participants activent leurs caméras. Quel est le bon parcours pour voir Alex en grand dans la fenêtre de la vidéo?;Je clique sur Epingler.//Je clique droit sur la vidéo d'Alex//Tout d'abord je rejoins la réunion;Je peux ainsi décider quel flux je veux regarder en grand : le document qui est présenté, ou l'un des participants à la réunion. ;C//B//A;BonParcours
MNG;Deb;MNG_DEB_FR_10;Appels;Je veux autoriser mon assistante à passer et recevoir des appels Teams en mon nom. Je peux le faire grâce à la fonctionnalité:;Transférer mes appels//Déléguer des appels//Gérer mes sonneries d'appels;Lorsque je suis en déplacement et que je ne veux pas être dérangé sans pour autant rater les appels importants, j'ajoute mon assistante ou une personne de mon équipe en tant que délégué (e ) pour qu'elle puisse passer et recevoir des appels en mon nom. ;B;QCMUnique
MNG;Deb;MNG_DEB_FR_11;Calendrier;Quel est le bon parcours pour voir qui a accepté ou refusé ma réunion Teams, sans repasser par Outlook?;Dans l'onglet Détails, la liste des personnes ayant accepté, refusé ou n'ayant pas répondu à mon invitation, est présente à droite.//Je sélectionne ensuite la réunion concernée//Je vais sur Calendrier dans Teams;Je peux visualiser de très nombreuses informations de ma réunion, sans quitter l'application Teams. ;C//B//A;BonParcours
MNG;Deb;MNG_DEB_FR_12;Calendrier;Vrai ou faux? Dans mon calendrier Teams, je peux ajouter des catégories de couleur personnalisées, comme dans Outlook. ;Vrai//Faux;;B;QCMMultiple
MNG;Deb;MNG_DEB_FR_13;Équipe/Discussions;"Mon manager a posté une publication importante sur les congés d'été dans le canal ""RH"" de notre équipe ""La meilleure équipe du monde"". Je souhaite suivre spécifiquement cette publication et les réponses apportées par mes collègues. Comment faire? ";"J'active les notifications de l'équipe ""La meilleure équipe du monde""//J'active les notifications du canal ""RH"".//J'active les notifications sur le message important sur les congés d'été.";Je peux activer ou désactiver les notifications de Teams à une maille très fine, par exemple par publication. ;C;QCMUnique
MNG;Deb;MNG_DEB_FR_14;Équipe/Discussions;Deux nouvelles personnes viennent d'arriver dans mon équipe. Je souhaite les ajouter  dans une équipe Teams, comment faire? ;"C'est impossible.//Je clique sur les trois points ""…"" à côté du nom de l'équipe et je clique sur ""Ajouter un membre"".//Je clique sur les trois points ""…"" à côté du nom de l'équipe et je clique sur ""Quitter l'équipe"".";Si je constate qu'il manque une personne importante à une équipe, je peux soumettre une demande d'ajout si je ne suis pas Propriétaire d'une équipe et il ou elle validera par la suite. Si j'ai créé l'équipe, j'ajoute moi-même la personne. ;B;QCMUnique
MNG;Inter;MNG_INT_FR_1;Conversations;Vrai ou faux? Je peux supprimer l'historique d'une conversation.;"Je ne peux pas supprimer l'historique d'une conversation, je peux éventuellement modifier les messages que j'avais postés dans cette conversation.//Si je ne souhaite plus visualiser cette conversation, je peux la masquer en positionnant ma souris sur la conversation, puis en cliquant sur ""Plus d'options ..."" et sur ""Masquer""";Masquer une conversation me permet d'aérer ma liste de conversations. Une conversation masquée réapparaît lorsque je la recherche dans la barre de recherche ou lorsque le contact m'envoie un nouveau message.;A//B;QCMMultiple
MNG;Inter;MNG_INT_FR_2;Conversations;"Un membre de mon équipe a changé de poste et je ne souhaite pas qu'il continue à accéder à notre  conversation de groupe ""C'est lundi, un petit café?"". Comment faire ? ";"Je clique enfin sur la croix à droite de son nom.//A droite, je clique sur le bouton ""Afficher et ajouter des participants""//Je vais dans ma liste de conversations de Teams.//Je vais sur la conversation de groupe ""C'est lundi, un petit café?""
";Je peux facilement ajouter ou supprimer des personnes d'une conversation de groupe.;C//D//B//A;BonParcours
MNG;Inter;MNG_INT_FR_3;Fichiers;Vrai ou faux? Mon équipe va gagner en efficacité et en qualité si nous co-éditons une seule et même version d'un document. ;Vrai, il n'y aura plus d’erreurs de version de document, de réconciliation, de modification//Faux;Teams permet la co-édition sur des fichiers Word, Excel, Powerpoint.;A;QCMUnique
MNG;Inter;MNG_INT_FR_4;Fichiers;J'ai réorganisé mon équipe Teams en supprimant des canaux. Un membre de mon équipe me demande où est-ce qu'il peut pas accéder aux fichiers des canaux supprimés. Je lui dis: ;Que c'est impossible, tous les fichiers ont été supprimés.//Que les fichiers ont été stockés automatiquement sur mon OneDrive.//Que les fichiers sont accessibles depuis le Sharepoint de l'équipe. ;Lorsqu'une des équipes n'est plus active, je l'archive pour m'en servir de référence et pour pouvoir la réactiver à l'avenir. Pour que les membres de cette équipe puissent continuer à accéder aux fichiers, je coche la fonction Autoriser l'accès du site SharePoint en lecture seule pour les membres de l'équipe. ;C;QCMMultiple
MNG;Inter;MNG_INT_FR_5;Applications;Je souhaite annoncer l'arrivée d'une nouvelle personne dans mon équipe. Quelle est la bonne pratique ? ;"J'envoie un email//Je crée une publication dans notre équipe Teams, en utilisant éventuellement ""Praise/ Féliciter""//Je crée une nouvelle équipe";Via des gifs ou des émojis, l'accueil de cette nouvelle personne sera plus chaleureux ! ;B;QCMMultiple
MNG;Inter;MNG_INT_FR_6;Applications;Un Responsable commercial me demande quelle application j'utilise pour gérer les congés de mon équipe. Il gère une équipe de 20 personnes et aimerait avoir un fichier de suivi personnel des congés de son équipe. Qu'est-ce que peux lui recommander? ;Créer un formulaire et demander à chacun de le remplir via Forms.//Créer un fichier excel et demander à chacun de le remplir par nom et par dates de congés envisagées.//Créer un OneNote et demander à chacun de le remplir.;Les applications Microsoft disposent d'un champ de possibilités pour m'aider à bien gérer mes équipes. J'utilise Excel pour avoir un suivi global des congés de mon équipe. Et en plus, je peux l'épingler dans Teams ou le partager facilement aux RH!;B;QCMMultiple
MNG;Inter;MNG_INT_FR_7;Statut/Raccourcis;Lorsque je regarde l'application Teams sur le PC de mon manager, celle-ci a un fond noir. Mon manager est-il un magicien? ;Oui, il fait disparaître les problèmes ! //Peut-être, mais il a surtout changé le thème de Teams en mode sombre;En allant dans les paramètres de Teams via ma photo de profil, je peux choisir le thème de l'application. ;B;QCMUnique
MNG;Inter;MNG_INT_FR_8;Statut/Raccourcis;Quel est le bon parcours pour modifier mon statut sur Teams en un minimum de clics?;"Je tape ensuite ""/"".//Je positionne ma souris dans la barre de recherche, en haut.//Je tape le statut que je souhaite (Absent, Disponible, De retour bientôt…).";Mes interlocuteurs sauront si je suis joignable grâce à mon statut à jour.;B//A//C;BonParcours
MNG;Inter;MNG_INT_FR_9;Appels;Quel est le bon parcours pour ajouter un délégué pour mes appels Teams?;"Je vais dans l'onglet Général.//J'ajoute mes délégués dans l'onglet ""Vos délégués"".//Je sélectionne Gérer les délégués tout en bas.//J'ouvre les paramètres.";Sur Teams, les délégués peuvent passer et recevoir des appels en mon nom. J'utilise cette fonctionnalité quand je ne suis pas joignable, quand je suis en déplacement, en congés ou en voyage professionnel. ;D//A//C//B;BonParcours
MNG;Inter;MNG_INT_FR_10;Appels;Je suis en réunion avec mon équipe, Alex m'envoie un message en me disant qu'il vaut mieux l'appeler sur son téléphone personnel car il n'a plus de batterie. Comment faire? ;"Je l'appelle depuis mon téléphone personnel.//J'utilise la fonctionnalité Ajouter des participants et je compose son numéro.//Je raccroche la réunion en cours et je lance un appel de groupe sur tous les numéros personnels de l'équipe.//Je ne peux pas l'appeler, il ne participera pas à la réunion. 
";Si un des membres de mon équipe a du mal à se connecter à une réunion, je peux l'appeler sur son téléphone portable depuis la réunion en cours, comme ça tout le monde peut participer activement à la réunion. ;B;QCMMultiple
MNG;Inter;MNG_INT_FR_11;Calendrier;J'ai partagé le détail de mon calendrier aux membres de mon équipe pour qu'ils puissent avoir accès aux détails de mon agenda et me fixer des points plus facilement. Est-ce qu'ils ont la vue de mon Calendrier sur Teams? ;Oui depuis l'onglet Calendrier.//Oui, uniquement quand ils utilisent l'assistant de planification.//Oui, quand ils consultent mon profil sur Teams. ;Aujourd'hui, je ne peux pas visualiser directement le calendrier partagé par une autre personne dans Teams. Par contre, en utilisant l'Assistant de planification j'ai accès aux détails de tous les calendriers partagés avec moi. ;B;QCMMultiple
MNG;Inter;MNG_INT_FR_12;Calendrier;Pour être efficace, je conseille aux membres de mon équipe de respecter le cycle de vie des réunions idéales qui est: ;Affichage du contenu en direct, enregistrement de vos notes et votre réunion//Diffusion de l'ordre du jour et échange avant le début de la réunion//Publication des tâches de chacun, des fichiers et d'autres activités de suivi;Je partage les bonnes pratiques de réunion aux membres de mon équipe pour que chacun puisse organiser des réunions efficaces. ;B//A//C;BonParcours
MNG;Inter;MNG_INT_FR_13;Équipe/Discussions;J'ai besoin de diffuser la même information dans plusieurs équipes, quel est le bon parcours? ;"Je clique sur le bouton ""Publier dans plusieurs canaux"".//Je clique sur l'icône ""Format"" pour mettre en forme ma nouvelle publication.//Je choisis finalement les canaux dans lesquels je veux publier mon information.//Je crée une nouvelle publication dans un canal d'une équipe.";Je gagne du temps en publiant une même information dans plusieurs canaux d'équipes. ;D//B//A//C;BonParcours
MNG;Inter;MNG_INT_FR_14;Équipe/Discussions;Vrai ou faux? Je peux mettre un titre à une publication dans un canal. ;Vrai, c'est même recommandé !//Faux;Si je ne  mets pas de titre à ma publication dans un canal, c'est comme si j'envoyais un email sans objet !;A;QCMUnique
MNG;Avance;MNG_AVA_FR_1;Conversations;Quand je mentionne une personne, j'aimerais supprimer son nom de famille et ne conserver que son prénom, est-ce possible ? ;"Oui, si j'ai bien mis ""@"" devant le nom de mon interlocuteur, la mention fonctionnera toujours.//Non, cela fera disparaitre la mention";Si je ne mentionne pas mes collègues, je prends le risque qu'ils ne lisent pas mon message et donc que je n'obtienne pas de réponse ! ;A;QCMUnique
MNG;Avance;MNG_AVA_FR_2;Conversations;Dans les conversations et les publications des équipes, je peux personnaliser les stickers via : ;"Le bouton ""A""//Le bouton ""Joindre""//Le bouton ""Autocollant"", et je choisis un sticker comportant en crayon noir en bas à droite";;C;QCMMultiple
