9075;THEMATIQUE          ;7;en;Files;;
9386;QUESTION            ;362;fr;Je suis en train de créer une réunion Teams et je souhaite paramétrer ses options, comment faire? ;Dans les options, je pourrai paramétrer des élements tels que la salle d'attente ou le rôle de présentateur. ;
9387;QUESTION            ;298;fr;Grâce à Teams, tous mes échanges sur mes différents projets sont concentrés en une seule application et j'utilise de moins en moins mes emails. Pourtant je reçois encore des notifications d'email sur les activités manquées dans Teams. Quel est le bon parcours pour désactiver ces notifications? ;A partir du moment où j'utilise Teams plusieurs heures par jour, tous les jours, je peux désactiver les notifications par email de Teams.;
9388;QUESTION            ;268;fr;Quelle est la durée de réunion conseillée pour un point de synchronisation hebdomadaire? ;Pour les réunions hebdomadaires avec mon équipe, je détermine un agenda en avance et je privilégie les réunions de 45 minutes pour laisser à tout le monde 15 minutes de battement avant la prochaine réunion. ;
9389;QUESTION            ;359;fr;Mon équipe et moi ne sommes pas sur le même site géographique. Pourtant, j'ai besoin d'organiser un atelier idéation autour d'un projet. Quel outil pouvons-nous utiliser à distance?  ;Avec mon équipe, nous n'avons plus besoin d'être dans la même salle pour brainstormer sur un sujet. Pendant la réunion Teams, nous pouvons le faire via les notes partagées ou encore utiliser une application tierce (Klaxoon, Miro, Beekast…) si mon organisation en dispose d'une. ;
9390;QUESTION            ;99;fr;Dans mon flux d'activités (notifications), je retrouve: ;Je consulte mes notifications depuis l'onglet Activités et j'utilise les filtres pour retrouver facilement une publication où on me mentionne.;
9391;QUESTION            ;24;fr;Vrai ou faux? Je peux utiliser l'application Whiteboard de Microsoft pendant une réunion Teams de brainstorming. ;Je peux utiliser le tableau blanc Whiteboard durant les réunions Teams, selon le paramétrage de mon entreprise. ;
9392;QUESTION            ;260;fr;Je souhaite lancer un sondage auprès des membres d'un canal. Comment puis-je faire ?;En utilisant des outils intégrés à Teams, je suis plus efficace car je n'ai pas besoin de sortir de Teams pour créer un sondage. Dans la zone de publication, je clique sur l'icône … (Extensions de messagerie) je sélectionne l'application Sondage, je clique sur Ajouter et je personnalise mon sondage. ;
9393;QUESTION            ;67;fr;J'utilise l'application Teams sur mobile. Je souhaite consulter le fichier Excel attaché à la conversation de groupe Prévisions des ventes 2021. Quel est le bon parcours pour le consulter? ;Comme sur la version PC de Teams, les fichiers attachés aux conversations de groupe restent accessibles en mobilité. ;
9394;QUESTION            ;276;fr;Quel est le bon parcours pour créer une réunion Teams à partir d'Outlook ? ;Les fonctionnalités habituellement disponibles dans Outlook sont présentes : rendre cette réunion périodique, utiliser l'assistant de planification pour identifier le meilleur créeau horaire pour tous les participants.;
9395;QUESTION            ;179;fr;Vrai ou faux? Aujourd'hui dans Teams, je peux accéder au calendrier d'une équipe Teams. ;Aujourd'hui je ne peux pas visualiser le calendrier d'une équipe Teams. Suivant le paramétrage mis en place par mon entreprise, je peux éventuellement accéder au Groups Office 365 correspondant à cette équipe, et alors visualiser le calendrier. ;
9396;QUESTION            ;131;fr;Pendant une réunion, si on me demande de partager une présentation Powerpoint, il est conseillé de sélectionner Partager un Fichier PowerPoint plutôt que Partager une fenêtre car: ;Pendant une réunion, si nous devons présenter à plusieurs une présentation, je sélectionne Partager un Fichier Powerpoint dans le bac de partage. Ainsi, les autres participants pourront la parcourir à leur propre rythme sans interrompre la présentation principale. Plus besoin de dire Reviens sur la slide 2! Je peux également donner la main aux autres présentateurs sans arrêter le partage et reprendre le contrôle à tout moment. ;
9397;QUESTION            ;152;fr;Sur l'application mobile, j'ai 20 équipes affichées dans l'onglet Equipes, ce qui n'est pas très confortable. Comment réduire cette liste ? ;Je peux moduler facilement l'affichage des équipes dans l'application mobile.;
9398;QUESTION            ;229;fr;Quels types de conversations puis-je épingler en haut de ma liste de conversations?;Pour bien organiser mon onglet Conversation, j'épingle mes conversations favorites en haut de mon interface. Je peux épingler: les conversations de réunions, les conversations de groupe et les conversations privées (1:1). ;
9399;QUESTION            ;130;fr;En tant que responsable d'équipe, je suis la seule personne à avoir reçu un email important comportant la politique de congés d'été. Je souhaite le transmettre à mon équipe. Comment faire? ;Si j'ai reçu un email important, je peux le transférer directement à un canal et permettre aux autres membres de réagir dessus.  Je vais sur le canal, je clique droit et je sélectionne Obtenir l'adresse email. Je peux ensuite @mentionner le canal, pour m'assurer que tout le monde lira l'information !;
9400;QUESTION            ;157;fr;Dans une équipe, on peut avoir un statut de Propriétaire ou de Membre. Pourquoi est-il conseillé de nommer plusieurs propriétaires dans une équipe? ;Quand je crée une équipe, je nomme directement 2 ou 3 propriétaires qui pourront gérer l'équipe au cas où je m'absente ou je quitte la société. ;
9401;QUESTION            ;197;fr;Je souhaite planifier une réunion projet avec des interlocuteurs externes. Je veux créer une Salle d'attente pour valider manuellement leur entrée dans la réunion. Quel est le bon parcours? ;Quand je planifie une réunion avec l'externe, j'active l'option Salle d'attente pour valider l'accès à la réunion. ;
9402;QUESTION            ;261;fr;Je souhaite féliciter un membre de mon équipe de commerciaux, pour avoir remporté un contrat d'exclusivité avec l'un de nos clients, comment faire? ;J'évite au maximum les chaînes de mail pour des félicitations ou des remerciements ! En revanche, je n'hésite pas utiliser les badges colorés de Teams pour féliciter mes collaborateurs pour leurs succès, pour remercier mes collègues de leurs efforts, conseils, etc …;
9403;QUESTION            ;48;fr;Je peux gérer tous mes appels depuis Teams car: ;Je n'ai plus besoin d'avoir plusieurs équipements téléphoniques. Je peux gérer facilement tous mes appels dans Teams! C'est pratique de pouvoir tout retrouver au même endroit!;
9404;QUESTION            ;161;fr;Dans la vidéo, pendant sa réunion, Alex peut choisir de partager: ;Pendant une réunion, je préfère partager l'intégralité de mon écran car c'est parfait quand je dois partager plusieurs fenêtres en toute transparence.  Je présente uniquement un fichier Powerpoint quand je dois partager une présentation et faire en sorte que d’autres personnes puissent la parcourir à leur propre rythme.;
9405;QUESTION            ;275;fr;Cochez toutes les affirmations vraies. Les balises…;Par défaut, les mentions individuelles de canal et d'équipe sont disponibles. Pour affiner la communication, je peux créer des mentions personnalisées. Ainsi, je ne notifie qu'une poignée de personnes définies et je ne suis pas obligé.e de notifier tout un canal, une équipe ou individu par individu.;
9406;QUESTION            ;357;fr;Une nouvelle personne vient d'intégrer mon équipe. Pour être rapidement opérationnelle, elle souhaite savoir où elle peut accéder aux notes de la réunion hebdomadaire de l'équipe. Elle peut les retrouver dans l'onglet…;Pour les réunions périodiques, j'encourage mes collègues à utiliser les notes partagées pour avoir une synthèse des points abordés par date. ;
9407;QUESTION            ;314;fr;Dans une conversation, sur quelle icône dois-je cliquer pour épingler un fichier ou une application? ;Je peux épingler un fichier (Word, Powerpoint, Excel) ou une application tierce à ma conversation pour le retrouver rapidement en un clic. ;
9408;QUESTION            ;237;fr;Est-ce que je peux travailler simultanément avec mes collègues sur un même fichier Powerpoint? ;Je partage mes fichiers dans mes équipes Teams. Ainsi, mes collègues et moi-même pouvons travailler sur une même version d'un document, plutôt que d'envoyer des versions successives par email.;
9409;QUESTION            ;124;fr;Comment suis-je informé.e qu'une réunion est lancée dans un canal? ;Je peux rejoindre une réunion de canal en me rendant dans le canal et en cliquant sur Rejoindre. ;
9410;QUESTION            ;302;fr;Je suis en réunion et on vient de me laisser un message vocal sur mon répondeur. J'aimerais savoir si c'est urgent. Comment le consulter discrètement depuis Teams? ;Je demande toujours à mes interlocuteurs de me laisser un message vocal. La fonctionnalité Transcription des messages vocaux me permet de consulter rapidement ma messagerie même si je suis en réunion!;
9411;QUESTION            ;183;fr;Je suis en ligne avec mon responsable, en cours d'appel nous souhaitons ajouter Alex à la conversation. Comment faire? ;Si j'ai besoin d'un avis d'une personne supplémentaire en cours d'appel, je vérifie que la personne est disponible via son statut et j'utilise la fonctionnalité Ajouter des participants pour l'inviter à rejoindre l'appel. ;
9412;QUESTION            ;181;fr;Nous allons avoir notre réunion de service dans 2 heures, et 4 de mes collègues sont malades, donc absents….Comment faire pour qu'ils accèdent aux contenus de la réunion? ;L'enregistrement des réunions, s'il est autorisé par l'entreprise, permet aux absents de prendre connaissance de la réunion, ou de revisionner individuellement des moments de cette réunion.;
9413;QUESTION            ;126;fr;La semaine prochaine, je pars en congés. Mes collègues sauront que je ne pourrai pas assister aux réunions car: ;Quand je pars en congés, j'informe par chat les personnes avec qui je travaille en permanence. Je modifie mon message de statut et je réponds en sélectionnant Refuser aux organisateurs de réunions programmées sur ma période de congés. ;
9414;QUESTION            ;47;fr;J'ai deux réunions planifiées simultanément dans mon agenda. Comment décider à laquelle je vais assister? ;"Lorsque je crée une réunion, je précise toujours si la présence des participants est obligatoire ou facultative et j''inclus toujours un ordre du jour clair et détaillé. 
Il m''arrive d''avoir 2 à 3 réunions simultanées et comme je ne peux me dédoubler, ces deux éléments permettent de prioriser une réunion par rapport à une autre. ";
9415;QUESTION            ;190;fr;Je viens de brancher mon casque pour participer à une réunion. Mais le son sort de mon PC. Quel est le bon parcours pour régler ce problème? ;;
9416;QUESTION            ;113;fr;Quel est le bon parcours pour planifier une réunion directement depuis un canal d'équipe ?;En planifiant des réunions d'équipe de cette manière, je n'ai pas besoin d'inviter les personnes individuellement. Je gagne ainsi du temps !;
9417;QUESTION            ;29;fr;Quel est le bon parcours pour accéder à mon OneDrive, alors que j'utilise l'application Teams sur mobile? ;;
9418;QUESTION            ;352;fr;Quel est l'astuce pour envoyer rapidement un message  à un contact ?;La barre de recherche ne sert pas uniquement à effectuer des recherches, elle me permet également de faire diverses actions. Je découvre la liste de toutes les actions possibles en tapant / dans la barre de recherche !;
9419;QUESTION            ;245;fr;Je souhaite rationnaliser le nombre de canaux dans mon équipe. En supprimant un canal:;Pour bien suivre mes projets, j'évite de créer plus de 10 canaux dans mes équipes pour ne pas polluer mes membres et structurer les discussions. ;
9420;QUESTION            ;106;fr;J'ai besoin de co-créer ou de partager des informations confidentielles avec certains membres de mon équipe, comment faire? ;Il est plus intéressant de créer un canal privé dans une équipe qu'une conversation de groupe ou un email, car de cette manière toute l'information portant sur un même projet est conservée au même endroit et non pas dispersée entre une équipe, des conversations, des emails... Pour cela, je clique sur Plus d'options …, puis sur Ajouter un canal. Un canal privé n'est seulement visible et accessible que par les membres sélectionnés.;
9421;QUESTION            ;92;fr;Avec mes collègues nous sommes en réunion. Pouvons-nous modifier simultanément le même fichier Powerpoint stocké dans un canal? ;La co-édition est toujours possible sur Teams, elle est même recommandée ! ;
9422;QUESTION            ;353;fr;Lorsque je dépose un fichier dans un canal, aucune notification n'est envoyée. Quelle est la solution idéale pour prévenir mes collègues qu'un fichier est disponible ?;Pour s'assurer que les fichiers sont toujours correctement rangés dans mon canal, mon équipe et moi créons tous les dossiers nécessaires et nous nous efforçons de notifier lorsque nous déposons de nouveaux fichiers. ;
9423;QUESTION            ;367;fr;Je souhaite annoncer l'arrivée d'une nouvelle personne dans mon équipe. Quelle est la bonne pratique ? ;Via des gifs ou des émojis, l'accueil de cette nouvelle personne sera plus chaleureux ! ;
9424;QUESTION            ;121;fr;Puis-je créer une réunion Teams périodique? ;;
9425;QUESTION            ;375;fr;Pour répondre à une publication dans une équipe, je clique sur: ;"Pour réagir à une nouvelle publication, je clique sur Répondre pour ajouter un commentaire. Ainsi, mes collègues peuvent retrouver facilement le fil de discussion de la publication. 
Je ne démarre une nouvelle conversation que si cela est nécessaire. ";
9426;QUESTION            ;112;fr;Comment permettre à un.e collègue d'accéder à un fichier que j'ai déposé sur Teams ?;Je garde à l'esprit que si le fichier fait partie d'une équipe privée et que mon contact n'en est pas membre, il.elle ne pourra pas y accéder.;
9427;QUESTION            ;240;fr;On me demande de rajouter un ordre du jour à ma réunion. Dans quelle zone dois-je le renseigner? ;Quand je crée une réunion Teams, j'ajoute toujours un ordre du jour pour informer les participants des sujets à discuter. ;
9428;QUESTION            ;89;fr;Puis-je créer une réunion Teams périodique? ;;
9429;QUESTION            ;311;fr;Je souhaite partager un fichier à mon collègue Bruno, qui ne fait pas partie de l'équipe Teams dans laquelle se trouve ce fichier. Quel est le bon parcours? ;Cette manipulation me permet de partager le fichier à Bruno sans l'ajouter dans l'équipe Teams. ;
9430;QUESTION            ;278;fr;Je souhaite paramétrer l'affichage de l'application Teams pour qu'elle me fatigue moins les yeux sur mobile. Quel est le bon parcours pour le faire? ;;
9431;QUESTION            ;312;fr;Dans quel onglet puis-je retrouver mon historique d'appels et ma messagerie vocale? ;Pour ne pas manquer des appels, je peux installer Teams sur mon téléphone portable professionnel ou personnel en fonction des règles définies par ma société. ;
9432;QUESTION            ;204;fr;Je fais partie d'une équipe de 20 personnes et j'ai repéré une formation en ligne intéressante pour mes collègues. Comment la mettre en évidence dans Teams ? ;J'utilise les canaux à bon escient pour structurer la communication au sein de mon équipe. ;
9433;QUESTION            ;205;fr;Puis-je créer une équipe Teams directement depuis mon application mobile, pour commencer à travailler sur le nouveau projet Motus? ;Je suis libre de créer des équipes Teams depuis l'application mobile, la version web ou l'application PC. ;
9434;QUESTION            ;271;fr;Comment obtenir l'adresse email d'un canal pour transférer une note interne à caractère important et officiel? ;Ponctuellement, je peux transférer un email à un canal Teams. Je privilégie Teams pour les échanges rapides et instantanés, et les emails pour communiquer des informations importantes et officielles. ;
9435;QUESTION            ;15;fr;En tant que manager d'une équipe de 30 personnes, j'ai créé un canal Contenu pour le succès de tous, où j'encourage mes collaborateurs à publier leurs succès et leurs documents, pour l'information de tous. Est-ce que une bonne pratique? ;Une information transparente et partagée est bénéfique pour tous ! ;
9436;QUESTION            ;105;fr;Quelles icônes permettent de transformer une conversation de groupe en une réunion adhoc? ;;
9437;QUESTION            ;226;fr;Je suis en déplacement professionnel et je souhaite accéder à la chaîne Stream épinglée dans le canal Veille et formations de mon équipe Teams. Puis-je le faire depuis l'application mobile Teams? ;;
9438;QUESTION            ;58;fr;Je consulte les fichiers d'une équipe depuis l'application mobile. Si je le souhaite, je peux ajouter :;Je peux continuer à travailler dans mes équipes, d'où je veux et quand je veux, grâce à l'application Teams sur mobile.;
9439;QUESTION            ;212;fr;Je suis en réunion avec mon équipe de commerciaux, et nous avons besoin d'interroger l'expert en droit commercial de notre entreprise. Quel est le bon parcours pour l'ajouter à la volée à notre réunion?  ;;
9440;QUESTION            ;118;fr;Je viens de créer une équipe, mais certains membres ne la voient pas dans leur liste. Comment puis-je les aider à la retrouver? ;Quand je crée une nouvelle équipe, je crée une publication de bienvenue en mentionnant les membres de l'équipe. J'y ajoute la description et l'objectif de cette nouvelle équipe.;
9441;QUESTION            ;192;fr;Quelle icône permet de désactiver tous les micros des participants rejoignant une réunion? ;Si nécessaire, je peux désactiver le micro des participants qui rejoignent ma réunion. ;
9442;QUESTION            ;331;fr;Je souhaite retrouver l'ancienne version d'un document partagé dans Teams, quel est le bon parcours? ;En partageant un document dans une équipe, je suis sûr.e qu'il n'y a plus qu'une seule version de document. Je suis sûr.e de travailler sur la dernière version à jour et si besoin je peux télécharger une ancienne version à une date précise, en utilisant l'historique des versions. ;
9443;QUESTION            ;318;fr;Un responsable a partagé un lien important dans le fil de conversation de la réunion d'hier. Il serait pertinent de partager ce lien à un autre collègue. Comment retrouver ce lien et lui partager? ;Si on me partage une information importante que je souhaite traiter plus tard, j'enregistre le message pour le retrouver facilement plus tard. ;
9444;QUESTION            ;257;fr;Je suis en réunion, j'interviens mais personne ne réagit à ma proposition…. Que se passe-t-il? ;Teams détecte et conseille proactivement les participants lorsque de petites erreurs communes impactent le bon déroulé d'une réunion. ;
9445;QUESTION            ;86;fr;Je souhaite retrouver l'ancienne version d'un document partagé dans Teams, quel est le bon parcours? ;En partageant un document dans une équipe, je suis sûr.e qu'il n'y a plus qu'une seule version de document. Je suis sûr.e de travailler sur la dernière version à jour et si besoin je peux télécharger une ancienne version à une date précise, en utilisant l'historique des versions. ;
9446;QUESTION            ;322;fr;Quel est le bon parcours pour ajouter un délégué pour mes appels Teams?;Sur Teams, les délégués peuvent passer et recevoir des appels en mon nom. J'utilise cette fonctionnalité quand je ne suis pas joignable, quand je suis en déplacement, en congés ou en voyage professionnel. ;
9447;QUESTION            ;284;fr;Un membre de mon équipe a changé de poste et je ne souhaite pas qu'il continue à accéder à notre conversation de groupe C'est lundi, un petit café?. Comment faire ? ;Je peux facilement ajouter ou supprimer des personnes d'une conversation de groupe.;
9448;QUESTION            ;206;fr;Je souhaite modifier les membres de mon équipe projet. Comment faire? ;En tant que propriétaire d'une équipe, je peux ajouter à tout moment des nouveaux membres ou en supprimer.;
9449;QUESTION            ;110;fr;Sur Teams, comment permettre à mes interlocuteurs d'accéder rapidement à une application tierce?;Si mon organisation le permet, je peux ajouter une application tierce à Teams. Sinon, je peux ajouter le connecteur Site Web depuis une conversation/canal et le relier à l'application qui m'intéresse.Dans la mesure du possible, je fais remonter le besoin à mon équipe IT pour que l'application soit intégrée au catalogue de mon organisation !;
9450;QUESTION            ;377;fr;Je veux autoriser mon assistante à passer et recevoir des appels Teams en mon nom. Je peux le faire grâce à la fonctionnalité:;Lorsque je suis en déplacement et que je ne veux pas être dérangé.e sans pour autant rater les appels importants, j'ajoute mon assistante ou une personne de mon équipe en tant que délégué.e, pour qu'elle puisse passer et recevoir des appels en mon nom. ;
9451;QUESTION            ;7;fr;Je suis manager d'une équipe de commerciaux et j'ai demandé à mes collègues de compléter le fichier Excel des congés d'été dans notre équipe Teams. Alex a indiqué qu'il prendrait les mois de juillet et août. Quelle est la bonne pratique pour l'interpeller sur ce qui semble être une erreur ?;Si j'ai des questions sur une zone spécifique d'un fichier Word, Powerpoint ou Excel, j'utilise la fonctionnalité Commentaires. Cela permettra à la personne concernée d'apporter rapidement la réponse à ma question. ;
9452;QUESTION            ;370;fr;En tant que manager d'une équipe de 30 personnes, j'ai créé un canal Contenu pour le succès de tous, où j'encourage mes collaborateurs à publier leurs succès et leurs documents, pour l'information de tous. Est-ce que une bonne pratique? ;Une information transparente et partagée est bénéfique pour tous ! ;
9453;QUESTION            ;150;fr;Dans une conversation de groupe, sur quelle icône dois-je cliquer pour ajouter un fichier? ;Dans une conversation de groupe, je préfère partager des fichiers stockés sur OneDrive pour que tout le monde dispose des versions synchronisées. ;
9454;QUESTION            ;221;fr;Je transforme une conversation en une réunion ad hoc quand: ;Lorsque je crée une réunion rapide depuis une conversation de groupe, je n'ai pas accès aux fonctionnalités avancées des réunions. Si je souhaite Enregistrer la réunion, utiliser la fonctionLever la main, avoir des Notes partagées… je dois créer la réunion depuis mon Calendrier Teams. ;
9455;QUESTION            ;339;fr;Mon Manager a posté une publication importante sur les congés d'été dans le canal RH de notre équipe. Je souhaite suivre spécifiquement cette publication et les réponses apportées par mes collègues. Comment faire? ;Je peux activer ou désactiver les notifications de Teams à une maille très fine, par exemple par publication. ;
9456;QUESTION            ;361;fr;Pour avoir une vue sur mes réunions de la semaine, je peux filtrer la vue de mon calendrier par: ;En début de semaine, je prends connaissance des réunions programmées de la semaine. Je me bloque du temps dans mon agenda pour pouvoir avancer sur mes dossiers de fond. ;
9457;QUESTION            ;234;fr;"Je suis en déplacement professionnel et on m''a volé mon ordinateur portable professionel. 
Comment participer à la réunion Teams très importante à 17H? ";Même sur un ordinateur qui n'est pas le mien (personnel ou professionnel), je peux retrouver mon environnement de travail via Office.com : Teams, mes documents avec OneDrive, mes emails sur Outlook….;
9458;QUESTION            ;371;fr;Que fait Alex dans cette vidéo? ;Je modifie mon statut pour informer mes interlocuteurs que je suis Disponible, Occupé, De retour bientôt, Absent ou en mode Ne pas déranger. ;
9459;QUESTION            ;319;fr;Je ne serai pas disponible tout l'après-midi et je souhaite rediriger mes contacts, quelqu'ils soient, vers Julie. Comment faire?;En déplacement ou en congé, j'ajoute dans mon message de statut la personne à contacter durant mon absence. Je coche toujours la case Afficher lorsque des personnes m'envoient un message pour informer mes interlocuteurs. ;
9460;QUESTION            ;25;fr;Je souhaite organiser une réunion de division avec les équipes régionales et on compte 50 personnes à inviter. Est-ce que je peux inviter tout le monde dans une réunion Teams? ;Sur Teams, je peux organiser des réunions jusqu'à 300 personnes. Pratique pour les réunions générales trimestrielles, les appels régionaux et en plus, tout le monde peut joindre la réunion de n'importe où !;
9461;QUESTION            ;252;fr;Je suis en télétravail et je m'apprête à suivre une réunion, mais mon environnement est mal rangé….Comment masquer cette réalité à mes interlocuteurs? ;J'active au maximum ma caméra pendant les réunions, afin de conserver l'attention de tous.;
9462;QUESTION            ;380;fr;Vrai ou faux? Mon équipe va gagner en efficacité et en qualité si nous co-éditons une seule et même version d'un document. ;Teams permet la co-édition sur des fichiers Word, Excel, Powerpoint. Il n'y aura plus d’erreurs de versions de documents, de réconciliations, de modifications !;
9463;QUESTION            ;368;fr;Je reçois toutes les 2 minutes une notification de mon collègue qui m'indique que notre N+3 vient d'arriver dans nos locaux, que se passe-t-il ? ;J'utilise les caractères Important et Urgent à bon escient ! ;
9464;QUESTION            ;254;fr;Nous avons une présentation avec un client. Mon client m'indique qu'il est avec un membre de son équipe qui est mal entendant et qu'il a besoin du sous-titrage pour suivre la réunion en ligne. Qu'est-ce que je fais?  ;Afin de garantir l'accessibilité numérique pour tous, je recommande à mon équipe de prendre connaissance des fonctionnalités d'accessibilité disponibles dans les applications Microsoft, pour être sûr que tous les contenus soient accessibles.  Ainsi, on peut s'adapter facilement à toutes les situations et partager les bonnes pratiques.;
9465;QUESTION            ;149;fr;Je suis en réunion avec mon équipe de commerciaux, et nous avons besoin d'interroger l'expert en droit commercial de notre entreprise. Quel est le bon parcours pour l'ajouter à la volée à notre réunion?  ;;
9466;QUESTION            ;321;fr;J'ai organisé une formation via Teams avec l'équipe commerciale. Je vais démarrer la formation et je souhaite accéder à la liste des personnes présentes. Quel est le bon parcours pour y accéder? ;Je peux organiser une formation via une réunion Teams et télécharger la liste des participants. Cela me permet d'assurer un suivi et de relancer ceux qui n'ont pas pu y assister. ;
9467;QUESTION            ;116;fr;Un responsable commercial me demande quelle application j'utilise pour gérer les congés de mon équipe. Il gère une équipe de 20 personnes et aimerait avoir un fichier de suivi personnel des congés de son équipe. Que puis-je lui recommander? ;Les applications Microsoft disposent d'un champ de possibilités pour m'aider à bien gérer mes équipes. Je privilégie Excel pour avoir un suivi global des congés de mon équipe. Et en plus, je peux l'épingler dans Teams ou le partager facilement aux RH!;
9468;QUESTION            ;8;fr;Lorsque je dépose un fichier dans un canal, aucune notification n'est envoyée. Quelle est la solution idéale pour prévenir mes collègues qu'un fichier est disponible ?;Pour s'assurer que les fichiers sont toujours correctement rangés dans mon canal, mon équipe et moi créons tous les dossiers nécessaires et nous nous efforçons de notifier lorsque nous déposons de nouveaux fichiers. ;
2905;THEMATIQUE          ;7;fr;Fichiers;;
2906;THEMATIQUE          ;4;fr;Équipe/Discussions;;
2907;THEMATIQUE          ;1;fr;Applications;;
2908;THEMATIQUE          ;6;fr;Statut/Raccourcis/Raccourcis;;
2909;THEMATIQUE          ;5;fr;Appels;;
2910;THEMATIQUE          ;2;fr;Statut/Raccourcis;;
2911;THEMATIQUE          ;3;fr;Calendrier;;
2912;SEMAINE             ;5;fr;Fin de mission;;
2913;SEMAINE             ;4;fr;Amerrissage !;Dernière poussée pour être un pro de Teams;
2914;SEMAINE             ;2;fr;Stabilisation !;Bien consolider ses connaissances;
2915;SEMAINE             ;1;fr;Lancement !;Partir et commencer le programme;
2916;SEMAINE             ;3;fr;Progression !;Approfondir ses usages;
2917;SEMAINE             ;1;en;Launch !;Let’s start and setup the program;
2918;SEMAINE             ;2;en;Stabilization !;Solidify your skills;
2919;SEMAINE             ;3;en;Expansion !;Strengthen your use cases;
2920;SEMAINE             ;4;en;Landing !;Last boost to be an expert;
2921;SEMAINE             ;5;en;Last mission;;
2922;AVATAR              ;4;fr;USS Teams;Multi-usages;
2923;AVATAR              ;1;fr;Apollo20;Téméraire et robuste;
2924;AVATAR              ;2;fr;Discovery Two;Puissant et imposant;
2925;AVATAR              ;3;fr;Odysseus;Attentif et réfléchi;
2926;AVATAR              ;5;fr;Haddock 17;Audacieux et prudent;
2927;AVATAR              ;6;fr;Llewsor 47;Énergique et curieux;
2928;AVATAR              ;1;en;Apollo20;Bold and robust;
2929;AVATAR              ;2;en;Discovery Two;Strong and imposing;
2930;AVATAR              ;3;en;Odysseus;Attentive and thoughtful;
2931;AVATAR              ;4;en;USS Teams;Multitask;
2932;AVATAR              ;5;en;Haddock 17;Fearless and prudent;
2933;AVATAR              ;6;en;Llewsor 47;Dynamic and curious;
2934;MEDAILLE            ;17;fr;Rapide comme l'éclair;Répondre correctement à 5 questions du module « Animer et piloter des projets »;
2935;MEDAILLE            ;19;fr;Vengeur spatio-temporel;Répondre correctement à 5 questions du module « Communiquer efficacement »;
2936;MEDAILLE            ;8;fr;Commandant des usages;Répondre correctement à 150 questions;
2937;MEDAILLE            ;9;fr;Premier contact;Se connecter 5 jours de suite;
2938;MEDAILLE            ;12;fr;Je suis une fusée;Répondre à 20 questions en moins d'une minute;
2939;MEDAILLE            ;3;fr;Explorateur galactique;Atteindre le niveau 15;
2940;MEDAILLE            ;24;fr;Maître de la mobilité;Répondre correctement à 30 questions du module « Mieux travailler en mobilité »;
2941;MEDAILLE            ;14;fr;Jamais 2 sans 3;Répondre 15 fois juste à la 3ème question d’un questionnaire;
2942;MEDAILLE            ;5;fr;Pour la gloire !;Atteindre le top 20 d'un classement (déblocable en semaine 4);
2943;MEDAILLE            ;23;fr;La météore de Pégase;Répondre correctement à 5 questions du module « Mieux travailler en mobilité »;
2944;MEDAILLE            ;16;fr;Maître de la collaboration;Répondre correctement à 30 questions du module « Mieux collaborer en équipe »;
2945;MEDAILLE            ;4;fr;Challenger;Atteindre le top 100 d'un classement (déblocable en semaine 4);
2946;MEDAILLE            ;7;fr;Chasseur d'usages Teams;Répondre correctement à 50 questions;
2947;MEDAILLE            ;22;fr;Maître de la réunion;Répondre correctement à 30 questions du module « Optimiser les réunions »;
2948;MEDAILLE            ;18;fr;Maître de l'animation;Répondre correctement à 30 questions du module « Animer et piloter des projets »;
2949;MEDAILLE            ;2;fr;Explorateur;Atteindre le niveau 10;
2950;MEDAILLE            ;10;fr;Emissaire subspatial;Se connecter 10 jours de suite;
2951;MEDAILLE            ;1;fr;Explorateur novice;Atteindre le niveau 5;
2952;MEDAILLE            ;6;fr;Naissance d'un astre;Répondre correctement à 20 questions;
2953;MEDAILLE            ;20;fr;Maître de la communication;Répondre correctement à 30 questions du module « Communiquer efficacement »;
2954;MEDAILLE            ;13;fr;Cinéphile des étoiles;Lancer 5 vidéos Teams via les différents questionnaires;
2955;MEDAILLE            ;21;fr;Concentration gravitationnelle;Répondre correctement à 5 questions du module « Optimiser les réunions »;
2956;MEDAILLE            ;25;fr;Le collectionneur de l'infini;Obtenir toutes les médailles communes et légendaires;
2957;MEDAILLE            ;15;fr;Intendant interstellaire;Répondre correctement à 5 questions du module « Mieux collaborer en équipe »;
2958;MEDAILLE            ;11;fr;Ambassadeur intergalactique;Se connecter 15 jours de suite;
2959;MEDAILLE            ;1;en;Novice Explorer;Reach the level 5;
2960;MEDAILLE            ;2;en;Explorer;Reach the level 10;
2961;MEDAILLE            ;3;en;Galactic Explorer;Reach the level 15;
2962;MEDAILLE            ;4;en;Challenger;Reach the top 100 of the GAME or EXP ranking;
2963;MEDAILLE            ;5;en;For the glory !;Reach the top 20 of the GAME or EXP ranking;
2964;MEDAILLE            ;6;en;Born to be a star;Answer correctly 20 questions;
2965;MEDAILLE            ;7;en;Teams uses Hunter;Answer correctly 50 questions;
2966;MEDAILLE            ;8;en;Admiral of Teams uses;Answer correctly 150 questions;
2967;MEDAILLE            ;9;en;First contact;Log in 5 days in a row;
2968;MEDAILLE            ;10;en;Subspace Emissary;Log in 10 days in a row;
2969;MEDAILLE            ;11;en;Intergalactic Ambassador;Log in 15 days in a row;
2970;MEDAILLE            ;12;en;I am the Rocketeer;Answer 20 questions in less than 30 seconds;
